;index;CODGEO;LIBGEO;ZE2020;LIBZE2020;latitude;longitude
0;0;1001;L'Abergement-Clémenciat, France;8213;Bourg en Bresse;46.1517768;4.934099652172801
1;3;1005;Ambérieux-en-Dombes, France;8213;Villefranche-sur-Saône;45.9986509;4.9026418
2;4;1006;Ambléon, France;8216;Belley;45.7494;5.60137
3;8;1010;Anglefort, France;8219;Le Genevois Français;45.90884285;5.795082384877583
4;9;1011;Apremont, France;8203;Oyonnax;49.2247297;2.5113646
5;14;1016;Arbigny, France;53;Mâcon;46.480832649999996;4.956612241609502
6;23;1027;Balan, France;8214;Lyon;45.826654399999995;5.106733406686167
7;393;2001;Abbécourt, France;2202;Saint-Quentin;49.5959;3.18039
8;395;2003;Acy, France;2206;Soissons;49.3461111;3.4141667
9;396;2004;Agnicourt-et-Séchelles, France;2204;Laon;49.716;3.95498
10;412;2020;Any-Martin-Rieux, France;2203;Maubeuge;49.8807927;4.2210872
11;414;2022;Arcy-Sainte-Restitue, France;2201;Château-Thierry;49.2522821;3.46339
12;1193;3001;Abrest, France;8303;Vichy;46.0980139;3.4450434
13;1194;3002;Agonges, France;8302;Moulins;46.6064854;3.1586881
14;1197;3005;Archignat, France;8301;Montluçon;46.36336015;2.4151184010648383
15;1510;4001;Aiglun, France;9301;Digne-les-Bains;44.0508845;6.1441889
16;1511;4004;Allemagne-en-Provence, France;9302;Manosque;43.7819561;6.006981
17;1515;4008;Annot, France;9307;Nice;43.9661316;6.667486
18;1555;4058;Claret, France;9304;Gap;43.8621481;3.9058717
19;1612;4132;Montsalier, France;9302;Cavaillon;44.0124991;5.6093503
20;1626;4148;Peyroules, France;9305;Cannes;43.8151958;6.6421398
21;1708;5001;Abriès-Ristolas, France;9303;Briançon;44.771742849999995;6.965641050977208
22;1881;6012;Beausoleil, France;9306;Menton;43.748281;7.4219677
23;2033;7001;Accons, France;8208;Les Sources de la Loire;44.8861;4.38697
24;2034;7002;Ailhon, France;8205;Aubenas;44.5979835;4.3418545
25;2037;7005;Alba-la-Romaine, France;8206;Montélimar;44.5544374;4.5978069
26;2039;7007;Alboussière, France;8208;Valence;44.944;4.732
27;2041;7009;Andance, France;8211;Vienne-Annonay;45.2405258;4.7986597
28;2056;7026;Le Béage, France;8205;Le Puy en Velay;44.849158;4.1201847
29;2064;7034;Bidon, France;8206;Bollène-Pierrelatte;44.3663529;4.5342856
30;2368;8001;Acy-Romance, France;2105;Reims;49.5008054;4.3423949
